SuperWEB2(tm)

"Census 2022-Person-2Fv1"
"Scotland's Census 2022 - National Records of Scotland Table UV601 - Economic activity All people aged 16 and over"
"Intermediate Zone - Data Zone 2011 by Economic activity"
"Counting: Individuals"

Filters:
"Default Summation","Individuals"

"Counting","Intermediate Zone - Data Zone 2011","Economic activity","Count",
"Individuals","S01006508","Economically Active full-time students - Self-employed without employees - Total",1
"Individuals","S01006508","Economically Active full-time students - Self-employed without employees - Part-time",1
"Individuals","S01006508","Economically Active full-time students - Self-employed without employees - Full-time",0
"Individuals","S01006508","Economically Active full-time students - Unemployed - Available for work",0
"Individuals","S01006508","Economically Inactive - Total",122
"Individuals","S01006508","Economically inactive - Retired",77
"Individuals","S01006508","Economically inactive - Student",14
"Individuals","S01006508","Economically inactive - Looking after home/ family",15
"Individuals","S01006508","Economically inactive - Long term sick or disabled",12
"Individuals","S01006508","Economically inactive - Other",4
"Individuals","S01006509","All people aged 16 and over",452
"Individuals","S01006509","Economically Active (excluding full-time students) - Total",258
"Individuals","S01006509","Economically Active (excluding full-time students) - Employee - Total",222
"Individuals","S01006509","Economically Active (excluding full-time students) - Employee - Part-time",55
"Individuals","S01006509","Economically Active (excluding full-time students) - Employee - Full-time",167
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed with employees - Total",6
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed with employees - Part-time",1
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed with employees - Full-time",5
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed without employees - Total",24
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed without employees - Part-time",8
"Individuals","S01006509","Economically Active (excluding full-time students) - Self-employed without employees - Full-time",16
"Individuals","S01006509","Economically Active (excluding full-time students) - Unemployed - Available for work",5
"Individuals","S01006509","Economically Active full-time students - Total",22
"Individuals","S01006509","Economically Active full-time students - Employee - Total",15
"Individuals","S01006509","Economically Active full-time students - Employee - Part-time",14
"Individuals","S01006509","Economically Active full-time students - Employee - Full-time",1
"Individuals","S01006509","Economically Active full-time students - Self-employed with employees - Total",0
"Individuals","S01006509","Economically Active full-time students - Self-employed with employees - Part-time",0
"Individuals","S01006509","Economically Active full-time students - Self-employed with employees - Full-time",0
"Individuals","S01006509","Economically Active full-time students - Self-employed without employees - Total",3
"Individuals","S01006509","Economically Active full-time students - Self-employed without employees - Part-time",3
"Individuals","S01006509","Economically Active full-time students - Self-employed without employees - Full-time",0
"Individuals","S01006509","Economically Active full-time students - Unemployed - Available for work",4
