,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00139272",125,77,22,4,11,-,10,123,76,22,4,8,-,10,115,72,22,4,7,-,10,22,11,2,2,8,-,3,-,-,-,-,-,-,-,95,60,20,1,2,-,8,3,1,-,1,-,-,-,-,-,-,-,-,-,-,7,4,-,-,3,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139273",230,153,39,9,5,1,23,220,145,38,8,5,1,23,213,143,38,7,4,-,23,38,24,2,3,-,-,7,1,-,-,-,1,-,-,172,118,36,4,2,-,13,2,2,-,-,1,-,-,-,-,-,-,-,-,-,4,2,-,2,1,1,-,1,1,-,-,-,-,-,5,4,-,-,-,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-
"S00139274",92,61,15,5,6,2,3,86,59,15,5,6,2,-,80,59,14,3,3,2,-,16,13,-,2,-,2,-,-,-,-,-,-,-,-,68,49,14,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,2,2,3,-,-,5,2,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139275",129,87,23,1,2,-,14,124,84,23,1,2,-,13,126,84,23,1,2,-,12,11,8,1,-,-,-,-,-,-,-,-,-,-,-,111,76,22,1,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,-,-,-,-,1,4,2,-,-,-,-,2,-,-,-,-,-,-,-
"S00139276",143,90,34,1,8,-,10,133,82,34,2,5,-,10,127,78,34,2,2,-,10,21,17,2,2,2,-,1,1,-,1,-,-,-,-,103,64,31,-,2,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-,2,-,-,3,3,-,-,-,-,-,2,2,-,-,1,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-
"S00139277",135,84,14,4,10,2,17,132,81,14,4,10,2,17,124,75,14,3,10,2,16,22,13,-,2,4,1,1,-,-,-,-,-,-,-,102,60,14,4,7,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,-,1,-,-,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00139278",129,80,24,7,17,-,-,116,76,23,2,15,-,-,114,74,23,2,15,-,-,18,10,3,-,5,-,-,-,-,-,-,-,-,-,99,63,17,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,3,-,-,-,3,-,-,2,1,1,-,-,-,-,4,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00139279",170,107,22,8,14,5,10,158,102,22,8,14,3,9,161,101,22,8,14,3,9,48,26,9,3,10,-,2,4,2,1,1,-,1,-,108,74,18,4,4,2,7,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,4,4,-,-,-,-,-,4,5,-,-,-,-,1
"S00139280",157,96,33,7,5,2,14,153,92,33,7,5,2,14,142,87,33,5,3,2,15,26,22,2,-,3,-,-,2,-,-,2,-,-,-,115,65,32,4,-,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,5,-,-,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,-,-
"S00139281",101,67,19,4,5,-,6,98,65,19,4,4,-,6,94,64,19,4,4,-,5,20,15,-,2,3,-,-,2,1,1,-,-,-,-,72,46,17,3,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139282",96,49,23,12,5,5,7,90,47,23,12,5,2,7,83,44,22,5,5,-,6,20,7,8,3,1,-,1,1,1,-,-,-,-,-,61,40,14,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,1,4,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139283",110,62,27,6,4,-,12,101,61,27,4,4,-,6,98,58,27,4,4,-,5,15,9,2,1,1,-,1,-,-,-,-,-,-,-,83,48,25,3,3,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,1,6,-,-,-,-,-,6,-,-,-,-,-,-,-,3,1,-,2,-,-,-,-,-,-,-,-,-,-
"S00139284",216,145,48,5,5,1,12,204,137,48,4,5,-,11,199,134,46,4,5,-,11,29,18,3,1,5,-,3,-,-,-,-,-,-,-,169,114,43,3,-,-,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,-,-,-,-,2,1,-,1,-,-,-,7,5,-,-,-,1,1,-,1,-,-,1,-,-,1,1,-,-,-,-,-
"S00139285",150,89,40,2,1,2,16,145,86,39,1,1,2,16,142,85,39,1,1,1,19,21,15,3,1,1,-,1,1,-,1,-,-,-,-,119,70,35,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-
"S00139286",157,104,24,4,2,-,22,148,91,27,3,2,-,22,146,92,27,3,2,-,22,11,6,4,1,2,-,-,4,-,-,4,-,-,-,131,83,25,-,1,-,22,2,2,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,3,1,2,-,-,-,-,3,1,-,2,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00139287",187,127,27,10,5,2,12,176,123,27,10,2,2,12,176,123,27,10,2,2,12,15,9,-,1,2,2,4,3,-,2,3,-,-,-,159,114,22,7,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,2,2,-,-,-,-,-,3,4,-,-,1,-,-,-,-,-,-,-,-,-
"S00139288",110,60,45,1,4,-,-,109,59,45,1,4,-,-,109,59,45,1,4,-,-,9,6,-,-,1,-,-,4,-,1,-,1,-,-,98,53,44,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00139289",91,56,23,5,6,-,1,91,56,23,5,6,-,1,86,55,23,1,5,-,1,5,2,-,-,4,-,-,-,-,-,-,-,-,-,81,53,23,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139290",100,58,25,4,6,-,7,98,58,25,3,5,-,7,99,57,25,3,5,-,7,23,7,6,3,5,-,2,-,-,-,-,-,-,-,72,46,18,-,-,-,4,2,-,1,-,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00139291",136,84,25,8,12,-,10,128,75,22,8,12,-,10,123,77,22,6,11,-,10,37,30,-,1,4,-,1,-,-,-,-,-,-,-,85,47,22,5,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,-,2,1,-,-,6,4,3,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00139292",75,52,13,1,2,-,6,73,52,13,1,2,-,5,69,49,13,-,2,-,5,16,18,-,-,2,-,-,4,4,-,-,-,-,-,49,31,13,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,1,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139293",196,107,64,8,11,1,5,192,104,64,8,10,1,5,187,104,64,6,7,1,4,22,9,4,4,2,-,-,-,1,1,-,-,-,-,162,95,58,2,5,1,4,2,-,2,-,-,-,-,-,-,-,-,-,-,-,5,-,-,2,3,-,1,1,1,-,-,-,-,-,2,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00139294",192,123,40,12,7,-,13,187,126,38,12,6,-,13,175,115,37,6,6,-,11,16,10,-,3,3,-,-,2,-,2,1,-,-,-,156,101,32,3,3,-,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-,12,7,1,3,-,-,1,2,2,1,-,-,-,-,1,-,-,-,-,-,1,2,-,2,-,1,-,-,-,-,-,-,-,-,-
"S00139295",77,46,26,3,2,-,1,74,41,26,3,-,-,1,71,41,26,3,1,-,1,6,3,-,1,-,-,-,-,-,-,-,-,-,-,67,38,26,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,1,2,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139296",130,68,38,5,8,5,8,127,65,36,5,8,2,8,119,63,36,1,8,2,7,21,7,3,-,7,-,4,1,1,-,-,-,-,-,97,58,33,1,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,4,-,-,1,3,-,1,-,-,1,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-
"S00139297",107,76,19,1,8,-,3,105,76,19,-,4,-,3,99,70,19,-,4,-,3,11,6,-,-,6,-,1,4,2,-,-,-,-,1,84,62,19,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00139298",102,65,29,5,-,-,2,101,64,29,5,-,-,1,98,64,29,4,-,-,1,9,7,2,-,-,-,-,-,-,-,-,-,-,-,88,56,27,4,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00139299",101,56,36,3,3,1,1,96,54,37,3,3,1,-,93,53,37,1,3,1,-,13,7,4,1,1,-,-,4,-,1,-,1,-,-,78,50,30,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,2,2,-,-,-,-,-,1,1,-,-,-,-,-
"S00139300",128,104,22,7,2,-,-,124,104,20,7,-,-,-,117,99,20,-,-,-,-,16,11,1,-,-,-,-,-,-,-,-,-,-,-,104,88,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,5,-,-,-,4,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139301",117,85,20,11,2,1,4,114,82,20,11,2,1,4,111,81,20,7,2,1,2,8,5,-,1,-,-,2,1,1,-,-,-,-,-,101,75,18,6,2,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,1,1,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139302",61,25,26,-,4,4,2,60,25,26,-,3,4,2,60,25,26,-,3,4,2,7,1,3,-,1,2,-,-,-,-,-,-,-,-,53,24,23,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139303",93,55,22,3,6,3,4,89,54,16,3,5,3,4,88,53,16,3,4,3,4,12,7,1,1,2,1,1,-,-,-,-,-,-,-,76,42,18,2,3,2,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139304",95,53,35,3,1,-,3,92,51,34,3,1,-,3,90,49,34,2,1,-,3,10,8,-,-,1,-,-,-,-,-,-,-,-,-,79,40,34,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139305",189,116,42,7,20,-,1,186,116,41,7,20,-,1,187,114,41,6,20,-,1,29,18,7,-,6,-,-,-,-,-,-,-,-,-,153,96,37,6,13,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00139306",105,63,27,3,-,3,7,100,61,27,3,-,2,7,102,60,27,3,-,2,7,13,7,1,1,-,-,-,-,-,-,-,-,-,-,89,53,26,1,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139307",117,51,40,2,11,1,12,117,51,40,2,11,1,12,114,49,40,2,11,1,8,25,14,4,-,10,-,2,-,-,-,-,-,-,-,86,37,37,2,1,1,8,3,1,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139308",121,85,18,2,7,3,6,111,81,18,2,5,1,5,109,81,18,-,5,1,5,7,6,2,-,3,-,-,-,-,-,-,-,-,-,96,71,18,-,1,1,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,1,1,-,-,-,-,-,5,2,-,-,-,2,1,3,1,-,-,2,-,-,2,2,-,-,-,-,-
"S00139309",106,79,17,1,-,-,5,100,78,17,1,-,-,5,99,76,17,1,-,-,5,10,9,-,1,-,-,-,-,-,-,-,-,-,-,88,66,17,-,-,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139310",123,79,20,15,3,-,3,121,78,20,14,3,-,3,114,77,20,8,3,-,3,11,7,1,1,1,-,1,1,1,-,-,-,-,-,102,72,19,7,4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-
"S00139311",114,67,32,-,5,3,5,108,68,29,-,5,3,5,106,67,29,-,6,3,5,12,6,2,-,1,1,-,1,-,-,-,-,1,-,92,60,26,-,2,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,6,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139312",106,55,44,-,4,2,2,106,55,44,-,4,2,2,104,55,47,-,3,2,2,9,4,2,-,2,-,-,-,-,-,-,-,-,-,97,50,41,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139313",61,27,21,2,3,2,4,58,27,21,2,3,-,3,58,27,21,2,3,-,3,10,7,-,2,1,-,1,-,-,-,-,-,-,-,48,20,21,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139314",113,72,26,4,4,-,9,109,66,25,1,4,-,9,107,68,25,1,4,-,9,7,4,-,1,2,-,-,1,-,-,-,1,-,-,98,63,25,-,1,-,9,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139315",100,56,21,10,7,-,7,95,55,21,10,5,-,7,92,50,21,10,5,-,6,13,4,3,-,3,-,4,-,-,-,-,-,-,-,78,47,17,10,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,-,-,1,3,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139316",91,54,19,4,7,-,8,87,50,19,4,7,-,8,85,48,19,4,7,-,8,22,8,5,1,3,-,-,2,-,-,-,2,-,-,63,39,14,4,2,-,6,2,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,3,3,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139317",80,40,17,1,11,1,10,74,38,17,1,11,1,9,76,37,17,1,11,1,9,17,9,-,-,9,-,2,-,-,-,-,-,-,-,57,27,17,1,4,1,7,1,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1
"S00139318",143,81,45,6,11,3,3,143,81,45,6,11,-,3,137,77,43,6,10,-,1,20,13,-,1,6,-,-,1,1,-,-,-,-,-,112,62,39,4,2,-,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,6,1,2,-,1,-,2,-,-,-,-,-,-,-,3,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139319",123,72,21,2,23,1,4,123,72,21,2,23,1,4,123,72,21,2,23,1,4,20,10,1,-,9,-,-,2,2,-,-,1,-,-,101,61,16,2,13,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139320",187,93,60,3,18,-,12,186,93,59,3,18,-,12,180,86,59,3,18,-,12,30,11,5,3,10,-,2,7,5,1,-,-,-,-,144,72,54,-,7,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139321",230,104,82,18,13,1,17,231,103,82,18,13,-,17,222,100,81,11,13,-,17,30,14,7,1,3,-,7,4,2,1,-,1,-,1,188,82,71,10,9,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,-,7,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139322",169,94,47,4,13,-,11,165,94,46,4,10,-,11,165,94,46,4,10,-,11,16,4,1,2,7,-,2,-,-,-,-,-,-,-,146,90,44,2,2,-,8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
"S00139323",162,93,34,8,4,1,22,160,93,34,8,4,1,22,159,93,34,8,4,1,24,16,7,1,-,4,-,6,2,2,-,-,-,-,-,142,83,33,8,2,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139324",124,74,34,4,5,-,7,120,74,34,4,5,-,4,118,70,34,3,5,-,4,8,7,-,-,1,-,-,1,-,-,-,-,-,1,109,63,34,3,3,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139325",153,81,60,6,4,-,4,147,74,59,6,4,-,4,143,74,59,3,2,-,4,8,5,1,-,-,-,1,-,-,-,-,-,-,-,135,70,57,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,3,1,-,-,4,4,-,-,-,-,-,1,-,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00139326",153,97,22,3,8,-,17,151,94,22,3,8,-,17,148,93,22,5,7,-,17,21,9,2,2,-,-,6,-,-,-,-,-,-,-,126,83,24,3,5,-,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,1,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139327",110,58,32,5,13,-,6,107,58,30,4,13,-,6,104,56,28,4,12,-,6,13,3,2,1,6,-,-,2,-,-,-,-,-,2,90,53,26,-,6,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00139328",193,126,18,10,15,2,18,176,118,18,9,11,2,18,169,116,18,6,9,2,18,20,17,-,1,3,1,1,-,-,-,-,-,-,-,149,102,18,4,6,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,3,3,-,-,8,4,-,-,6,-,-,-,-,-,-,-,-,-,3,3,-,1,-,-,-,-,-,-,-,-,-,-
"S00139329",121,74,29,2,3,-,9,122,73,29,2,3,-,9,122,73,29,2,3,-,9,11,6,2,2,-,-,-,3,-,1,-,-,-,2,106,67,30,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00139330",157,110,38,4,-,-,6,155,108,38,4,-,-,6,149,110,38,4,-,-,6,15,11,3,-,-,-,-,1,1,-,-,-,-,-,135,93,39,4,-,-,3,4,1,-,-,-,-,2,-,-,-,-,-,-,-,2,1,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139331",126,75,27,6,10,-,10,124,75,27,6,6,-,10,120,75,27,3,5,-,10,4,2,-,-,1,-,4,-,-,-,-,-,-,-,113,73,27,3,2,-,8,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139332",111,67,27,-,9,2,6,111,67,27,-,9,2,6,111,67,27,-,9,2,6,9,1,1,-,6,1,-,-,-,-,-,-,-,-,99,63,30,-,3,1,5,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139333",163,122,22,5,11,6,3,162,122,18,5,11,4,3,151,114,18,4,11,-,1,14,10,-,1,3,-,-,-,-,-,-,-,-,-,135,107,18,1,6,-,1,2,1,-,-,1,-,-,-,-,-,-,-,-,-,9,4,-,1,-,3,2,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139334",92,64,15,8,5,-,-,87,64,15,3,5,-,-,82,64,15,1,5,-,-,4,2,-,-,1,-,-,-,-,-,-,-,-,-,82,65,14,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00139335",140,82,38,4,5,5,6,132,78,38,4,-,3,6,134,78,38,2,-,4,6,17,13,-,1,1,2,1,-,-,-,-,-,-,-,113,65,38,-,1,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,3,-,-,-,2,2,-,7,2,1,-,1,-,-,-,-,-,-,-,-,-
"S00139336",158,97,37,11,4,1,8,152,95,36,11,4,1,8,152,93,36,10,4,1,8,13,7,2,-,3,-,1,-,-,-,-,-,-,-,139,86,34,10,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-
"S00139337",181,143,15,17,3,-,1,175,141,14,15,4,-,1,161,135,13,8,4,-,1,15,10,1,-,4,-,-,2,2,-,-,-,-,-,144,123,12,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,6,1,7,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,4,-,1,2,1,-,-,-,-,-,-,-,-,-
