lewisham {'shoplifting': 369, 'theft_person': 174, 'robbery_biz': 75, 'burglary_biz': 67}
leather-lane {'shoplifting': 726, 'theft_person': 232, 'robbery_biz': 95, 'burglary_biz': 100}
maltby-street {'shoplifting': 34, 'theft_person': 232, 'robbery_biz': 55, 'burglary_biz': 117}
vauxhall {'shoplifting': 72, 'theft_person': 755, 'robbery_biz': 215, 'burglary_biz': 41}
westbourne-grove {'shoplifting': 89, 'theft_person': 116, 'robbery_biz': 29, 'burglary_biz': 123}
fulham-road {'shoplifting': 223, 'theft_person': 35, 'robbery_biz': 32, 'burglary_biz': 62}
columbia-road {'shoplifting': 119, 'theft_person': 126, 'robbery_biz': 45, 'burglary_biz': 80}
broadway-market {'shoplifting': 285, 'theft_person': 129, 'robbery_biz': 64, 'burglary_biz': 92}
stoke-newington {'shoplifting': 81, 'theft_person': 64, 'robbery_biz': 34, 'burglary_biz': 49}
bellenden-road {'shoplifting': 195, 'theft_person': 43, 'robbery_biz': 24, 'burglary_biz': 44}
deptford {'shoplifting': 121, 'theft_person': 70, 'robbery_biz': 47, 'burglary_biz': 75}
new-cross {'shoplifting': 119, 'theft_person': 91, 'robbery_biz': 82, 'burglary_biz': 67}
clapham-old-town {'shoplifting': 369, 'theft_person': 444, 'robbery_biz': 167, 'burglary_biz': 53}
battersea-park-road {'shoplifting': 21, 'theft_person': 30, 'robbery_biz': 20, 'burglary_biz': 53}
parsons-green {'shoplifting': 97, 'theft_person': 65, 'robbery_biz': 24, 'burglary_biz': 70}
west-hampstead {'shoplifting': 137, 'theft_person': 85, 'robbery_biz': 49, 'burglary_biz': 85}
salusbury-road {'shoplifting': 236, 'theft_person': 34, 'robbery_biz': 41, 'burglary_biz': 68}
st-johns-wood {'shoplifting': 129, 'theft_person': 69, 'robbery_biz': 22, 'burglary_biz': 50}
primrose-hill {'shoplifting': 21, 'theft_person': 49, 'robbery_biz': 13, 'burglary_biz': 32}
white-city {'shoplifting': 347, 'theft_person': 68, 'robbery_biz': 28, 'burglary_biz': 23}
finsbury-park {'shoplifting': 164, 'theft_person': 539, 'robbery_biz': 193, 'burglary_biz': 102}
highbury-barn {'shoplifting': 2, 'theft_person': 54, 'robbery_biz': 25, 'burglary_biz': 34}
tufnell-park {'shoplifting': 28, 'theft_person': 51, 'robbery_biz': 10, 'burglary_biz': 32}
mile-end {'shoplifting': 94, 'theft_person': 125, 'robbery_biz': 47, 'burglary_biz': 77}
hackney-wick {'shoplifting': 138, 'theft_person': 305, 'robbery_biz': 84, 'burglary_biz': 41}
surrey-quays {'shoplifting': 38, 'theft_person': 269, 'robbery_biz': 50, 'burglary_biz': 24}
chrisp-street {'shoplifting': 199, 'theft_person': 91, 'robbery_biz': 78, 'burglary_biz': 89}
roman-road {'shoplifting': 102, 'theft_person': 114, 'robbery_biz': 38, 'burglary_biz': 58}
chatsworth-road {'shoplifting': 95, 'theft_person': 91, 'robbery_biz': 36, 'burglary_biz': 55}
archway {'shoplifting': 482, 'theft_person': 127, 'robbery_biz': 75, 'burglary_biz': 77}
acton {'shoplifting': 142, 'theft_person': 34, 'robbery_biz': 35, 'burglary_biz': 68}
seven-sisters {'shoplifting': 437, 'theft_person': 161, 'robbery_biz': 91, 'burglary_biz': 28}
leyton {'shoplifting': 57, 'theft_person': 72, 'robbery_biz': 28, 'burglary_biz': 31}
upton-park {'shoplifting': 102, 'theft_person': 461, 'robbery_biz': 74, 'burglary_biz': 58}
canning-town {'shoplifting': 295, 'theft_person': 120, 'robbery_biz': 86, 'burglary_biz': 124}
harringay {'shoplifting': 145, 'theft_person': 67, 'robbery_biz': 40, 'burglary_biz': 35}
highgate {'shoplifting': 106, 'theft_person': 22, 'robbery_biz': 12, 'burglary_biz': 34}
denmark-hill {'shoplifting': 21, 'theft_person': 102, 'robbery_biz': 25, 'burglary_biz': 43}
forest-hill {'shoplifting': 45, 'theft_person': 11, 'robbery_biz': 21, 'burglary_biz': 19}
CRIME DONE
